Outcome,Model1 R²,Model2 R²,R² Change,F Change,p-value Change,Number of Tones Beta,Number of Tones p
Pitch Perception,0.12770689929129386,0.12852324404217697,0.0008163447508831023,0.06369813386364434,0.801504899884105,0.04205052227933992,0.8015048998840784
Rhythm Perception,0.15650876678066628,0.15824000317045406,0.0017312363897877825,0.13985467942046895,0.7095890662707052,-0.05744828036815061,0.709589066270693
Cadence Learning,0.15652386782837935,0.22454360583515787,0.06801973800677852,5.964670894799157,0.017200099513172962,-0.3752576948877263,0.01720009951317294
Style Learning,0.04803375887739669,0.05743314878271644,0.009399389905319744,0.6781041713235478,0.41311906902853635,-0.08628553918088439,0.41311906902853324
