Variable,Mean,SD,Min,Max,Skewness,Kurtosis,N
Total_Pitch perception,12.10958904109589,2.6851528191334766,4,15,-1.0190860985566934,0.8869010757483924,73
Total_Rhythm perception,11.04109589041096,2.5190295539066425,4,14,-1.0755539539481769,0.6449764553054425,73
Total_Cadence learning,4.534246575342466,2.6251041872489025,0,8,-0.1572081956783314,-1.0998438861110444,73
Total_Style learning,3.4246575342465753,1.62376284717506,0,5,-0.373814828886239,-1.2789813180680667,73
Total,31.10958904109589,6.750641212004351,12,42,-0.9127793912297424,0.7971065519302343,73
